   0.0000000       0.0000000       0.0000000       0.0000000    
  4.98647250465932557E-002  -1.0000000000000000        0.0000000    
  9.65142651612785167E-003 -9.63227330896690784E-003   0.0000000               0
 -1.66106291988368375E-017  1.65148907020135720E-017   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       4.98647250465932557E-002   0.0000000    
  1.87005202498548816E-002  1.99256587871023474E-003   0.0000000               0
  1.86061174035243655E-003  1.85320443415788114E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.14909859681364748        0.0000000    
  1.89254905040493679E-002  2.01758931354287328E-003   0.0000000               0
  2.01759766176374438E-003  1.86140364099032680E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.24685065885020532        0.0000000    
  1.90048546159203371E-002  1.79499847454246014E-003   0.0000000               0
  2.06377285709709920E-003  1.84106519992050070E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.34214940653888148        0.0000000    
  1.89244359842351342E-002  1.32162132144848722E-003   0.0000000               0
  2.00076209947881072E-003  1.79028891970997341E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.43404771720184693        0.0000000    
  1.86725608653461710E-002  6.03054632626160120E-004   0.0000000               0
  1.83795866288072600E-003  1.70753609450526797E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.52163226288156528        0.0000000    
  1.82435841735553439E-002 -3.43250660993314847E-004   0.0000000               0
  1.59310249013221508E-003  1.59223561960648054E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.60403258714842112        0.0000000    
  1.76418333441391191E-002 -1.48520540241517960E-003   0.0000000               0
  1.29206964735618501E-003  1.44548044827005964E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.68042975561555086        0.0000000    
  1.68850297350821056E-002 -2.77479122420568047E-003   0.0000000               0
  9.67146475054124944E-004  1.27067328695804182E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.75006449393667485        0.0000000    
  1.60061204096547081E-002 -4.14936293183277172E-003   0.0000000               0
  6.53327794280946666E-004  1.07395030142186619E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.81224473177744239        0.0000000    
  1.50526550636682025E-002 -5.53606711789221637E-003   0.0000000               0
  3.82820205617305270E-004  8.64225425871091059E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.86635247601267551        0.0000000    
  1.40834125060834876E-002 -6.85889769429343012E-003   0.0000000               0
  1.78821117962251418E-004  6.52766214070673537E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.91184993906373191        0.0000000    
  1.31627716490223361E-002 -8.04682170771145802E-003   0.0000000               0
  5.04301270611443988E-005  4.52321560170963408E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.94828483841723243        0.0000000    
  1.23540192623642821E-002 -9.04076437890377789E-003   0.0000000               0
 -9.23970692000152416E-006  2.75934995349240604E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.97529469048270923        0.0000000    
  1.17130550959362676E-002 -9.79748788846619527E-003   0.0000000               0
 -2.03886551122532145E-005  1.35650510629329625E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       0.99260893397276140        0.0000000    
  1.12836614494007184E-002 -1.02895655136119209E-002   0.0000000               0
 -9.49185183402516122E-006  4.13282067179372205E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748        1.0000000000000000        0.0000000    
  1.10959840710313437E-002 -1.05009459318245717E-002   0.0000000               0
 -1.83817913900672800E-017  1.94827841035348516E-017   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -4.98647250465932557E-002   0.0000000    
  1.83441475962286410E-002  1.72942115398259369E-003   0.0000000               0
  1.59826474581958888E-003  1.81830370383441742E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.14909859681364748        0.0000000    
  1.78694609891800922E-002  1.24269064809392690E-003   0.0000000               0
  1.24269664049402213E-003  1.75826774095210296E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.24685065885020532        0.0000000    
  1.72886315832490763E-002  5.51980433889326795E-004   0.0000000               0
  8.12788055955892749E-004  1.67440907517283043E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.34214940653888148        0.0000000    
  1.66142029364796974E-002 -3.16945109327527563E-004   0.0000000               0
  3.34434712312648038E-004  1.56799586457124808E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.43404771720184693        0.0000000    
  1.58610522167277439E-002 -1.33057000931412661E-003   0.0000000               0
 -1.59428870818749174E-004  1.44060445315430004E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.52163226288156528        0.0000000    
  1.50484104830884997E-002 -2.44637178400904228E-003   0.0000000               0
 -6.29745735083137611E-004  1.29453816022206854E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.60403258714842112        0.0000000    
  1.42012074517533747E-002 -3.61291264548497778E-003   0.0000000               0
 -1.03392168772690313E-003  1.13321065654627493E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.68042975561555086        0.0000000    
  1.33500198330029768E-002 -4.77219784615062412E-003   0.0000000               0
 -1.33057527450436484E-003  9.61379057045635456E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.75006449393667485        0.0000000    
  1.25291598695920735E-002 -5.86473995853091425E-003   0.0000000               0
 -1.48635630250578223E-003  7.85126715688481101E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.81224473177744239        0.0000000    
  1.17729783764059827E-002 -6.83686757625086988E-003   0.0000000               0
 -1.48383081155134891E-003  6.11549103775149185E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.86635247601267551        0.0000000    
  1.11111672603773030E-002 -7.64870854781095604E-003   0.0000000               0
 -1.32846273561712459E-003  4.48181553299117821E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.91184993906373191        0.0000000    
  1.05644612412461349E-002 -8.28041527248348300E-003   0.0000000               0
 -1.05213550861129376E-003  3.02296934100791757E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.94828483841723243        0.0000000    
  1.01423160245751823E-002 -8.73412007559625295E-003   0.0000000               0
 -7.10921618192081502E-004  1.80253623459438015E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.97529469048270923        0.0000000    
  9.84365103320610814E-003 -9.03013309919250759E-003   0.0000000               0
 -3.76153069935774187E-004  8.70571111456262619E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748      -0.99260893397276140        0.0000000    
  9.66066261542432476E-003 -9.19784140684368201E-003   0.0000000               0
 -1.20027250093415915E-004  2.62134618004197263E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.14909859681364748       -1.0000000000000000        0.0000000    
  9.58491659286018517E-003 -9.26351560201744972E-003   0.0000000               0
 -1.52702902433110990E-017  1.53181594917227318E-017   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       4.98647250465932557E-002   0.0000000    
  1.85319505807321136E-002  1.86303766809350056E-003   0.0000000               0
  1.46496823897647693E-003  1.80943638793533874E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.14909859681364748        0.0000000    
  1.90049123558565028E-002  2.06380903117305220E-003   0.0000000               0
  1.79506119539513446E-003  1.84107192589498189E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.24685065885020532        0.0000000    
  1.93494353382485489E-002  2.02123238275744724E-003   0.0000000               0
  2.02125093447985769E-003  1.84507269047132286E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.34214940653888148        0.0000000    
  1.95413556101251586E-002  1.72031798079006729E-003   0.0000000               0
  2.13591242667695441E-003  1.81828316989584952E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.43404771720184693        0.0000000    
  1.95573537900738254E-002  1.15324876413277068E-003   0.0000000               0
  2.13794701452175041E-003  1.75772591748496465E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.52163226288156528        0.0000000    
  1.93788063811446178E-002  3.23166238883606908E-004   0.0000000               0
  2.03382184391861284E-003  1.66126914677450638E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.60403258714842112        0.0000000    
  1.89966175544332289E-002 -7.51685169664035734E-004   0.0000000               0
  1.83832437028517981E-003  1.52845644385449664E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.68042975561555086        0.0000000    
  1.84161470136926207E-002 -2.03462471596064370E-003   0.0000000               0
  1.57432775306404118E-003  1.36136211329715880E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.75006449393667485        0.0000000    
  1.76610332010571393E-002 -3.46932169219307373E-003   0.0000000               0
  1.27095332895179095E-003  1.16528089030018371E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.81224473177744239        0.0000000    
  1.67746780267983113E-002 -4.98171095644846847E-003   0.0000000               0
  9.59948620433543048E-004  9.49044246342794356E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.86635247601267551        0.0000000    
  1.58185266109770011E-002 -6.48527461443070517E-003   0.0000000               0
  6.70818279471452382E-004  7.24797991759581518E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.91184993906373191        0.0000000    
  1.48669998712600750E-002 -7.88889681336870860E-003   0.0000000               0
  4.25991725674508244E-004  5.07177408278103141E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.94828483841723243        0.0000000    
  1.39997891828020898E-002 -9.10563978874456836E-003   0.0000000               0
  2.37684427842936721E-004  3.11950888861363580E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.97529469048270923        0.0000000    
  1.32928763567507630E-002 -1.00605385787279396E-002   0.0000000               0
  1.07771333935646085E-004  1.54328650181768836E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532       0.99260893397276140        0.0000000    
  1.28098748702314084E-002 -1.06960120182831766E-002   0.0000000               0
  3.09177346170865449E-005  4.72150695253851246E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532        1.0000000000000000        0.0000000    
  1.25964188917181523E-002 -1.09727556123250716E-002   0.0000000               0
 -2.06795153138256888E-017  2.41261011994633051E-017   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -4.98647250465932557E-002   0.0000000    
  1.79531527457527200E-002  1.43842947940113833E-003   0.0000000               0
  1.04434203214784512E-003  1.75306519032163398E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.14909859681364748        0.0000000    
